permno,sorting_date,portfolio_size,portfolio_bm,portfolio_op,portfolio_inv,exchange,size
14636,2024-07-01,1,2,2,3,AMEX,39.5083
14647,2024-07-01,1,2,1,1,NASDAQ,196.66034
14650,2024-07-01,1,3,2,2,NASDAQ,199.56042
14653,2024-07-01,1,2,2,3,NASDAQ,785.7004800000001
14663,2024-07-01,1,2,2,2,NASDAQ,179.1416
14668,2024-07-01,1,2,3,3,NASDAQ,75.712
14670,2024-07-01,1,1,2,3,NYSE,3444.42371
14677,2024-07-01,1,2,1,1,NASDAQ,288.03512
14682,2024-07-01,1,3,2,1,NYSE,356.73344
14684,2024-07-01,1,2,2,3,NYSE,889.08274
14688,2024-07-01,1,1,3,3,NASDAQ,1958.48
14690,2024-07-01,1,1,1,3,NASDAQ,1744.32141
14694,2024-07-01,1,3,1,1,NASDAQ,179.58882
14708,2024-07-01,1,1,1,3,NASDAQ,831.0788
14711,2024-07-01,1,2,1,1,NASDAQ,462.57175
14715,2024-07-01,1,1,1,3,NYSE,1816.43985
14716,2024-07-01,1,2,2,3,NYSE,2596.05306
14720,2024-07-01,1,2,1,1,AMEX,5.9705
14773,2024-07-01,1,2,3,3,NYSE,1462.9345
14778,2024-07-01,1,1,3,1,NYSE,156.79376
14782,2024-07-01,1,1,1,3,NASDAQ,1239.504
14790,2024-07-01,1,3,1,1,NASDAQ,142.69486
14797,2024-07-01,1,2,1,1,NASDAQ,817.14201
14807,2024-07-01,1,1,3,3,NASDAQ,556.67586
14810,2024-07-01,1,3,2,2,NASDAQ,151.3666
14812,2024-07-01,1,2,2,2,NASDAQ,339.17559
14815,2024-07-01,1,1,1,1,NASDAQ,64.31607
14816,2024-07-01,1,2,2,3,NYSE,1264.89489
14818,2024-07-01,1,3,2,1,NASDAQ,30.9984
14823,2024-07-01,1,1,1,3,NASDAQ,1064.46816
14828,2024-07-01,1,2,1,1,NASDAQ,661.3197
14852,2024-07-01,1,3,2,1,NYSE,19.7769
14855,2024-07-01,1,2,3,3,NYSE,669.552
14877,2024-07-01,1,1,3,2,NASDAQ,641.6011
14884,2024-07-01,1,2,2,1,NYSE,1508.77364
14932,2024-07-01,1,2,2,3,NASDAQ,194.01135
14934,2024-07-01,1,3,1,1,NASDAQ,1.33834
14937,2024-07-01,1,1,1,2,NASDAQ,101.65848
14941,2024-07-01,1,3,1,1,NYSE,914.4076800000001
14942,2024-07-01,1,2,2,3,NASDAQ,543.63134
14943,2024-07-01,1,3,2,2,NASDAQ,116.51772
14951,2024-07-01,1,2,2,1,NYSE,93.67380000000001
14960,2024-07-01,1,2,2,3,NYSE,1688.22
14985,2024-07-01,1,1,3,3,NYSE,837.2278800000001
10026,2024-07-01,1,1,2,2,NASDAQ,3151.27696
10028,2024-07-01,1,1,2,2,AMEX,117.97924
10032,2024-07-01,1,2,2,2,NASDAQ,2815.2663
10044,2024-07-01,1,2,2,1,NASDAQ,13.952400000000003
10066,2024-07-01,1,3,1,3,NASDAQ,42.77592
10158,2024-07-01,1,2,1,3,NYSE,989.30659
10252,2024-07-01,1,3,2,2,NASDAQ,2154.0784
10253,2024-07-01,1,3,1,1,AMEX,12.15524
10257,2024-07-01,1,2,3,3,NASDAQ,149.77248
10258,2024-07-01,1,1,1,3,NASDAQ,2453.05981
10308,2024-07-01,1,2,2,2,AMEX,704.3556
10333,2024-07-01,1,2,1,3,NASDAQ,276.17802
10355,2024-07-01,1,2,1,3,NASDAQ,543.19896
10382,2024-07-01,1,2,2,2,NASDAQ,676.27766
10397,2024-07-01,1,2,2,2,NASDAQ,2214.58064
10421,2024-07-01,1,3,2,1,NASDAQ,3290.5145799999996
10443,2024-07-01,1,2,1,2,NASDAQ,542.7356
10463,2024-07-01,1,1,1,1,NASDAQ,61.67312
10501,2024-07-01,1,2,2,1,NASDAQ,1225.1382
10517,2024-07-01,1,2,3,2,NYSE,1497.309
10547,2024-07-01,1,2,2,3,NASDAQ,549.05584
10550,2024-07-01,1,2,2,3,NASDAQ,66.04932
10645,2024-07-01,1,2,2,2,NASDAQ,169.25132
10649,2024-07-01,1,2,2,2,NASDAQ,377.88435
10779,2024-07-01,1,2,1,2,AMEX,45.184
10812,2024-07-01,1,2,2,1,NASDAQ,967.31316
10860,2024-07-01,1,2,2,3,NASDAQ,317.65968
10866,2024-07-01,1,1,3,2,NYSE,1180.368
10886,2024-07-01,1,3,1,1,NASDAQ,9.39139
10892,2024-07-01,1,2,2,2,NASDAQ,2785.267
10901,2024-07-01,1,2,2,2,NASDAQ,339.36492
10966,2024-07-01,1,1,1,2,NASDAQ,317.293
11006,2024-07-01,1,3,2,2,NASDAQ,225.63036
11018,2024-07-01,1,2,3,2,NYSE,3043.94983
11043,2024-07-01,1,1,1,1,NASDAQ,14.09408
11144,2024-07-01,1,3,2,2,NYSE,240.671
11153,2024-07-01,1,1,2,3,NASDAQ,60.95637
11154,2024-07-01,1,2,3,3,NASDAQ,1563.01719
11174,2024-07-01,1,3,1,3,NASDAQ,385.04295
11208,2024-07-01,1,2,3,3,NYSE,1760.2249000000002
11267,2024-07-01,1,3,1,1,NYSE,104.10768
11275,2024-07-01,1,1,1,1,NASDAQ,121.42035
11285,2024-07-01,1,2,2,3,NASDAQ,1314.72096
11292,2024-07-01,1,2,1,2,NASDAQ,37.99005
11293,2024-07-01,1,3,2,2,NASDAQ,1662.84989
11368,2024-07-01,1,1,1,1,NASDAQ,58.870799999999996
11370,2024-07-01,1,1,3,1,NYSE,3449.27231
11379,2024-07-01,1,2,3,3,NASDAQ,211.9754
11397,2024-07-01,1,2,2,3,NASDAQ,467.55978
11442,2024-07-01,1,2,3,2,NASDAQ,1561.98125
11499,2024-07-01,1,1,2,3,NASDAQ,1007.5574
11511,2024-07-01,1,2,2,2,NASDAQ,24.6823
11547,2024-07-01,1,1,2,2,NYSE,2135.1253199999996
11565,2024-07-01,1,3,2,2,NASDAQ,540.71744
11581,2024-07-01,1,1,3,2,NYSE,2073.174
11587,2024-07-01,1,1,2,2,NASDAQ,796.2768
11593,2024-07-01,1,3,1,2,NASDAQ,168.47714
11628,2024-07-01,1,2,3,2,NYSE,573.2904
11644,2024-07-01,1,3,2,3,NYSE,3033.05676
11654,2024-07-01,1,3,1,1,NASDAQ,37.324
11664,2024-07-01,1,3,2,2,NYSE,502.83449999999993
11701,2024-07-01,1,3,3,3,NASDAQ,997.93245
11731,2024-07-01,1,1,2,3,NYSE,2634.84
11775,2024-07-01,1,3,1,2,NASDAQ,318.21306
11790,2024-07-01,1,3,1,2,NASDAQ,197.53784
11803,2024-07-01,1,1,2,3,NASDAQ,515.94582
11844,2024-07-01,1,2,2,3,NASDAQ,787.0151599999999
11884,2024-07-01,1,1,3,2,NASDAQ,3715.74472
12009,2024-07-01,1,2,3,1,NYSE,210.7842
12017,2024-07-01,1,3,1,1,NASDAQ,7.5348
12049,2024-07-01,1,3,1,1,AMEX,33.9104385
12078,2024-07-01,1,1,2,3,AMEX,130.09968
