permno,sorting_date,portfolio_size,portfolio_bm,portfolio_op,portfolio_inv,exchange,size
10026,2022-07-01,1,1,2,2,NASDAQ,2679.23744
10028,2022-07-01,1,1,3,3,AMEX,191.97525
10032,2022-07-01,1,2,2,2,NASDAQ,2176.2555
10044,2022-07-01,1,2,1,1,NASDAQ,42.83513
10051,2022-07-01,1,1,3,2,NYSE,558.89528
10066,2022-07-01,1,3,3,1,NASDAQ,37.069826799999994
10158,2022-07-01,1,1,2,3,NYSE,1540.33804
10253,2022-07-01,1,3,1,3,AMEX,29.729465100000002
10257,2022-07-01,1,1,3,2,NASDAQ,197.52564
10258,2022-07-01,1,1,1,3,NASDAQ,1260.7844
10308,2022-07-01,1,2,2,2,AMEX,1047.1804
10333,2022-07-01,1,2,2,3,NASDAQ,254.52672
10355,2022-07-01,1,2,1,3,NASDAQ,356.3676
10382,2022-07-01,1,2,2,2,NASDAQ,932.4347
10397,2022-07-01,1,2,3,3,NASDAQ,2444.05264
10421,2022-07-01,1,3,2,2,NASDAQ,1073.5925
10443,2022-07-01,1,3,1,3,NASDAQ,570.60925
10463,2022-07-01,1,1,1,1,NASDAQ,55.071
10501,2022-07-01,1,2,2,2,NASDAQ,746.89594
10514,2022-07-01,1,1,1,1,NASDAQ,6.179940000000001
10517,2022-07-01,1,1,3,3,NYSE,891.7095
10530,2022-07-01,1,2,3,2,NASDAQ,1329.93198
10547,2022-07-01,1,1,2,3,NASDAQ,853.5471
10550,2022-07-01,1,1,2,3,NASDAQ,57.3562
10645,2022-07-01,1,2,3,3,NASDAQ,117.82656
10649,2022-07-01,1,2,3,2,NASDAQ,609.94791
10661,2022-07-01,1,3,2,1,NASDAQ,18.11568
10779,2022-07-01,1,3,1,3,AMEX,44.69225
10781,2022-07-01,1,2,2,3,NASDAQ,96.60479999999998
10812,2022-07-01,1,2,2,1,NASDAQ,1097.99976
10860,2022-07-01,1,2,1,2,NASDAQ,196.67012
10866,2022-07-01,1,1,1,1,NYSE,964.00512
10886,2022-07-01,1,3,2,2,NASDAQ,19.27552
10892,2022-07-01,1,3,2,2,NASDAQ,2549.20283
10901,2022-07-01,1,2,3,2,NASDAQ,297.62033
10966,2022-07-01,1,1,1,2,NASDAQ,345.08565
11006,2022-07-01,1,3,2,1,NASDAQ,400.40273
11018,2022-07-01,1,2,3,2,NYSE,2549.90574
11043,2022-07-01,1,1,2,1,NASDAQ,35.66884
11144,2022-07-01,1,3,2,2,NYSE,688.67055
11153,2022-07-01,1,1,2,2,NASDAQ,114.8217
11154,2022-07-01,1,2,2,2,NASDAQ,1199.98748
11174,2022-07-01,1,2,2,3,NASDAQ,641.0232
11208,2022-07-01,1,3,3,2,NYSE,1234.4908
11267,2022-07-01,1,2,1,1,NYSE,223.19064
11275,2022-07-01,1,1,1,2,NASDAQ,113.81710999999999
11285,2022-07-01,1,3,2,3,NASDAQ,1245.3716
11292,2022-07-01,1,2,2,2,NASDAQ,67.32143
11293,2022-07-01,1,3,2,2,NASDAQ,1893.05529
11368,2022-07-01,1,1,1,1,NASDAQ,47.17436
11370,2022-07-01,1,1,2,2,NYSE,2912.21799
11394,2022-07-01,1,1,1,1,NASDAQ,8.641463899999998
11397,2022-07-01,1,2,2,2,NASDAQ,831.4803
11442,2022-07-01,1,2,2,2,NASDAQ,1187.33632
11481,2022-07-01,1,2,2,1,NASDAQ,519.7764
11499,2022-07-01,1,3,2,1,NASDAQ,206.51332
11511,2022-07-01,1,1,2,3,NASDAQ,44.29703
11547,2022-07-01,1,1,2,2,NYSE,2827.40976
11565,2022-07-01,1,3,2,3,NASDAQ,759.0416600000001
11581,2022-07-01,1,2,2,1,NYSE,1151.68002
11587,2022-07-01,1,1,2,1,NASDAQ,1124.40168
11593,2022-07-01,1,3,2,1,NASDAQ,157.92282000000003
11628,2022-07-01,1,2,3,2,NYSE,590.9904
11636,2022-07-01,1,1,1,1,NASDAQ,286.34328
11644,2022-07-01,1,2,3,2,NYSE,2813.50448
11654,2022-07-01,1,3,2,1,NASDAQ,63.9972
11664,2022-07-01,1,2,2,2,NYSE,1361.26332
11691,2022-07-01,1,2,3,3,NYSE,2954.62808
13412,2022-07-01,1,2,1,3,NASDAQ,329.4930898
13453,2022-07-01,1,3,1,2,NASDAQ,19.64625
13455,2022-07-01,1,3,1,3,NASDAQ,16.96464
13508,2022-07-01,1,2,3,1,NYSE,361.69815
13520,2022-07-01,1,2,2,1,NASDAQ,376.0896000000001
13528,2022-07-01,1,3,3,2,NASDAQ,221.81346
13534,2022-07-01,1,3,2,1,NASDAQ,389.775
13537,2022-07-01,1,2,2,3,NASDAQ,1415.39013
13548,2022-07-01,1,1,3,1,NASDAQ,1498.30962
13559,2022-07-01,1,2,1,1,NASDAQ,194.14134
13561,2022-07-01,1,3,2,2,NASDAQ,97.87305
13563,2022-07-01,1,1,3,1,NASDAQ,160.47197
13577,2022-07-01,1,2,1,2,NYSE,422.62974
13579,2022-07-01,1,2,2,2,NYSE,1149.97523
13599,2022-07-01,1,2,3,3,NASDAQ,54.34454999999999
13622,2022-07-01,1,3,2,2,NYSE,1161.49314
13625,2022-07-01,1,1,3,2,NYSE,2076.74247
13648,2022-07-01,1,1,1,3,NASDAQ,147.8834
13652,2022-07-01,1,3,1,3,NASDAQ,30.292379999999998
13693,2022-07-01,1,2,1,3,NASDAQ,138.02016
13694,2022-07-01,1,3,2,2,NASDAQ,219.725
13704,2022-07-01,1,1,1,3,NASDAQ,1024.292
13712,2022-07-01,1,3,1,1,NASDAQ,67.56828
13743,2022-07-01,1,3,2,2,NYSE,662.1966
13748,2022-07-01,1,3,2,2,NYSE,1745.04967
13766,2022-07-01,1,2,3,3,NYSE,2346.70203
13769,2022-07-01,1,3,3,2,AMEX,13.495380000000003
13777,2022-07-01,1,1,2,2,NASDAQ,588.48256
13796,2022-07-01,1,1,1,3,NASDAQ,197.0696
13797,2022-07-01,1,3,2,1,NASDAQ,346.25528
13798,2022-07-01,1,1,1,3,NASDAQ,176.62312
13802,2022-07-01,1,1,3,2,NYSE,2397.38243
13812,2022-07-01,1,3,1,3,NASDAQ,26.21355
13816,2022-07-01,1,1,1,2,NYSE,941.9579199999998
13825,2022-07-01,1,1,1,1,NASDAQ,979.4344000000001
13828,2022-07-01,1,1,1,2,NASDAQ,11.84422
13837,2022-07-01,1,1,3,2,NYSE,2638.61648
13844,2022-07-01,1,3,1,3,NASDAQ,16.646
13862,2022-07-01,1,3,2,2,NYSE,2794.76704
13870,2022-07-01,1,1,1,2,NASDAQ,181.86688
13876,2022-07-01,1,3,2,2,NASDAQ,155.01108
13877,2022-07-01,1,3,2,2,NASDAQ,2794.90396
13879,2022-07-01,1,3,1,3,NASDAQ,73.6971408
13890,2022-07-01,1,1,2,3,NYSE,444.34008
13908,2022-07-01,1,3,3,1,NYSE,2379.87837
13918,2022-07-01,1,1,1,1,NASDAQ,416.07116
13919,2022-07-01,1,3,1,1,NYSE,511.204
13921,2022-07-01,1,2,3,2,NYSE,1118.0559
13935,2022-07-01,1,1,3,2,NASDAQ,948.08076
13947,2022-07-01,1,2,1,1,NASDAQ,304.50114
13959,2022-07-01,1,1,3,1,NASDAQ,216.012
13962,2022-07-01,1,1,1,1,NASDAQ,590.2706
13965,2022-07-01,1,2,1,3,NASDAQ,33.87195
13967,2022-07-01,1,1,1,1,NASDAQ,2864.53036
13969,2022-07-01,1,2,3,2,NASDAQ,162.63951
13976,2022-07-01,1,2,2,1,AMEX,22.5736
14033,2022-07-01,1,3,1,3,NASDAQ,15.42024
14044,2022-07-01,1,2,1,3,NASDAQ,1215.24855
14046,2022-07-01,1,3,1,3,NASDAQ,5.693159999999999
14051,2022-07-01,1,3,1,1,AMEX,65.4075
14056,2022-07-01,1,3,1,3,NASDAQ,27.58272
14060,2022-07-01,1,3,1,3,NASDAQ,28.18991
14072,2022-07-01,1,1,1,2,NASDAQ,278.921
14093,2022-07-01,1,3,1,3,NASDAQ,68.939992
14094,2022-07-01,1,3,1,3,NASDAQ,26.76583
14099,2022-07-01,1,1,1,2,NASDAQ,211.55848
14102,2022-07-01,1,1,3,2,NASDAQ,2775.65436
14107,2022-07-01,1,3,1,3,NASDAQ,50.07336
14133,2022-07-01,1,2,1,3,AMEX,21.72152
14135,2022-07-01,1,3,1,3,AMEX,98.28244999999998
14137,2022-07-01,1,3,3,2,AMEX,283.82466
14145,2022-07-01,1,3,1,1,NASDAQ,42.8699
14158,2022-07-01,1,1,1,2,NASDAQ,10.83132
14166,2022-07-01,1,1,2,2,NASDAQ,1808.8863
14167,2022-07-01,1,1,1,3,NASDAQ,1124.32788
14172,2022-07-01,1,1,1,3,NASDAQ,27.68115
14175,2022-07-01,1,3,2,2,NASDAQ,208.372
14185,2022-07-01,1,3,1,1,NYSE,85.14437
14213,2022-07-01,1,2,3,3,NYSE,1438.5411
14221,2022-07-01,1,3,2,3,NYSE,472.40232
14239,2022-07-01,1,1,3,1,NASDAQ,1273.95756
14245,2022-07-01,1,1,1,3,NASDAQ,2400.26514
14257,2022-07-01,1,1,1,1,NASDAQ,181.30405
14262,2022-07-01,1,1,1,3,NASDAQ,877.2021899999999
14263,2022-07-01,1,2,1,3,NASDAQ,1424.0241
14273,2022-07-01,1,1,2,3,NYSE,2364.3081
14274,2022-07-01,1,3,3,1,NYSE,315.39998
14276,2022-07-01,1,3,1,3,NYSE,366.1888
14296,2022-07-01,1,2,1,1,NYSE,95.55805
14310,2022-07-01,1,3,2,2,NASDAQ,272.37234
14313,2022-07-01,1,2,1,3,NASDAQ,72.26496
14317,2022-07-01,1,2,3,3,NASDAQ,2022.4237000000003
14318,2022-07-01,1,3,2,2,NASDAQ,1410.2716499999997
14339,2022-07-01,1,1,1,2,NASDAQ,19.75005
14355,2022-07-01,1,3,1,1,NASDAQ,35.0477
14359,2022-07-01,1,1,2,2,NASDAQ,1633.55108
14419,2022-07-01,1,1,1,3,NASDAQ,82.58586
14422,2022-07-01,1,2,1,1,NASDAQ,490.37230000000005
14423,2022-07-01,1,2,1,1,NASDAQ,276.9921
14431,2022-07-01,1,3,1,1,NASDAQ,31.3443096
14434,2022-07-01,1,1,3,3,NASDAQ,1080.60771
14435,2022-07-01,1,3,1,1,NASDAQ,4.9622091
14440,2022-07-01,1,1,1,3,NASDAQ,1546.79474
14442,2022-07-01,1,2,1,1,NASDAQ,68.591934
14444,2022-07-01,1,3,1,1,NASDAQ,10.696344
14449,2022-07-01,1,2,1,3,NASDAQ,15.90762
14451,2022-07-01,1,3,1,2,NASDAQ,201.76004
14452,2022-07-01,1,3,1,3,NASDAQ,161.6456256
14456,2022-07-01,1,1,2,1,NASDAQ,589.5861
14459,2022-07-01,1,2,2,2,NASDAQ,552.89988
14467,2022-07-01,1,1,1,1,NASDAQ,1010.55986
14468,2022-07-01,1,3,1,3,NASDAQ,9.589983899999998
14469,2022-07-01,1,1,3,3,NASDAQ,188.74964
14472,2022-07-01,1,1,1,3,NASDAQ,3221.85752
14479,2022-07-01,1,1,3,3,NYSE,2436.25536
14487,2022-07-01,1,2,2,2,NYSE,1590.1141499999997
14490,2022-07-01,1,2,3,1,NYSE,425.1139
14495,2022-07-01,1,1,2,3,NYSE,1090.3635
14497,2022-07-01,1,2,1,3,AMEX,114.40584999999999
14503,2022-07-01,1,1,2,1,NYSE,2779.9695
14504,2022-07-01,1,2,1,2,NYSE,282.79746
14516,2022-07-01,1,1,1,1,NYSE,2206.204
14523,2022-07-01,1,1,1,3,NASDAQ,421.02006
14526,2022-07-01,1,2,2,1,NASDAQ,868.99754
14528,2022-07-01,1,3,1,3,NASDAQ,52.07664
14531,2022-07-01,1,1,1,1,NASDAQ,64.8662355
14532,2022-07-01,1,2,3,3,NASDAQ,754.005
14535,2022-07-01,1,2,1,1,NASDAQ,43.8574
14536,2022-07-01,1,3,1,3,NASDAQ,27.7092
14538,2022-07-01,1,1,1,3,NASDAQ,68.45796
14544,2022-07-01,1,2,2,1,NASDAQ,354.85668
14545,2022-07-01,1,2,2,3,NASDAQ,70.892505
14548,2022-07-01,1,3,1,1,NASDAQ,67.72752
14550,2022-07-01,1,2,1,3,NASDAQ,45.032775
14551,2022-07-01,1,3,1,3,NASDAQ,15.54633
14554,2022-07-01,1,2,1,3,NASDAQ,808.4934
14555,2022-07-01,1,3,1,1,NASDAQ,30.148732199999998
14556,2022-07-01,1,2,1,1,NASDAQ,77.465
14574,2022-07-01,1,1,3,3,NYSE,2550.94245
14580,2022-07-01,1,2,2,3,NASDAQ,1179.6636
14590,2022-07-01,1,3,2,1,NASDAQ,94.32047
14591,2022-07-01,1,1,1,3,NASDAQ,104.32983
14599,2022-07-01,1,3,2,2,NASDAQ,78.11208
14601,2022-07-01,1,3,3,1,NASDAQ,1984.88721
14603,2022-07-01,1,2,3,2,NASDAQ,389.06594
