Symbol,Name,AUM,Avg Daily Share Volume (3mo)
VOO,Vanguard S&P 500 ETF,"$755,873,000.00 ","7,016,544"
IVV,iShares Core S&P 500 ETF,"$691,903,000.00 ","5,748,483"
SPY,SPDR S&P 500 ETF Trust,"$664,549,000.00 ","70,890,070"
VTI,Vanguard Total Stock Market ETF,"$541,981,000.00 ","3,583,508"
QQQ,Invesco QQQ Trust Series I,"$381,476,000.00 ","47,259,852"
VUG,Vanguard Growth ETF,"$193,394,000.00 ","908,912"
VEA,Vanguard FTSE Developed Markets ETF,"$175,404,000.00 ","11,603,295"
IEFA,iShares Core MSCI EAFE ETF,"$152,510,000.00 ","10,507,564"
VTV,Vanguard Value ETF,"$147,599,000.00 ","2,848,565"
BND,Vanguard Total Bond Market ETF,"$138,755,000.00 ","6,382,815"
AGG,iShares Core U.S. Aggregate Bond ETF,"$131,563,000.00 ","8,623,049"
GLD,SPDR Gold Shares,"$120,602,000.00 ","10,498,938"
IWF,iShares Russell 1000 Growth ETF,"$120,488,000.00 ","1,014,009"
IEMG,iShares Core MSCI Emerging Markets ETF,"$109,323,000.00 ","9,803,002"
VGT,Vanguard Information Technology ETF,"$107,248,000.00 ","469,322"
VXUS,Vanguard Total International Stock ETF,"$105,254,000.00 ","4,190,064"
VWO,Vanguard FTSE Emerging Markets ETF,"$101,387,000.00 ","8,399,166"
IJH,iShares Core S&P Mid-Cap ETF,"$98,719,300.00 ","7,116,729"
VIG,Vanguard Dividend Appreciation ETF,"$97,164,400.00 ","842,795"
XLK,Technology Select Sector SPDR Fund,"$88,669,200.00 ","7,374,460"
VO,Vanguard Mid-Cap ETF,"$88,339,200.00 ","616,985"
SPLG,SPDR Portfolio S&P 500 ETF,"$85,057,900.00 ","8,807,566"
IJR,iShares Core S&P Small-Cap ETF,"$84,712,400.00 ","4,713,589"
IBIT,iShares Bitcoin Trust ETF,"$84,347,700.00 ","44,500,031"
